University,Department,Year,Enrollment,Graduation Rate (%),Dropout Rate (%),Funding Allocation (ZAR),Average GPA
University of Cape Town,Health Science,2024,439,69.99,5.39,10634478,3.75
University of KwaZulu-Natal,Health Science,2018,1988,92.95,16.81,996471,3.75
University of KwaZulu-Natal,Engineering,2022,1250,91.88,26.98,4657047,3.13
Wits University,Engineering,2015,2388,69.75,10.63,16956624,3.15
University of Pretoria,Health Science,2016,460,59.52,7.48,16395147,3.64
University of Cape Town,Education,2017,835,55.74,14.93,1013631,3.88
Rhodes University,Health Science,2022,325,68.58,15.47,1110555,2.39
University of Pretoria,Health Science,2020,1725,65.29,11.42,2626906,3.04
University of Cape Town,Education,2024,1759,53.65,14.07,9083327,3.16
University of Cape Town,Health Science,2021,2783,67.31,24.79,15885207,2.12
University of Pretoria,Humanities,2020,1721,87.8,21.36,2468806,2.53
University of Cape Town,Health Science,2016,2433,56.94,10.1,6844132,3.58
Stellenbosch University,Engineering,2024,1661,54.68,28.87,794447,2.09
University of Pretoria,Law,2017,2040,74.65,5.58,8145448,2.33
University of Cape Town,Engineering,2023,255,79.84,8.73,10242135,2.99
University of KwaZulu-Natal,Education,2019,1017,66.59,25.29,2556275,3.04
University of Cape Town,Health Science,2022,1752,76.66,5.01,5582152,3.28
University of KwaZulu-Natal,Health Science,2024,1920,80.85,9.61,13178642,3.93
Stellenbosch University,Law,2019,2074,92.27,18.41,17625509,3.04
Wits University,Engineering,2016,1441,90.89,26.79,18924422,2.24
Rhodes University,Education,2023,2009,50.32,12.94,5400915,2.86
University of Cape Town,Engineering,2018,267,55.32,16.17,3110592,2.23
University of Cape Town,Engineering,2018,2068,64.76,14.1,9584456,2.78
University of Pretoria,Law,2024,526,77.85,12.79,3837147,3.04
Wits University,Education,2017,1577,88.79,23.61,15309365,3.33
Wits University,Law,2016,477,83.07,24.65,2742437,3.25
University of KwaZulu-Natal,Engineering,2016,1665,57.05,13.93,19839278,3.88
Rhodes University,Law,2018,2125,68.67,11.66,8355842,3.97
University of KwaZulu-Natal,Health Science,2018,1083,53.34,18.82,5949295,3.56
Rhodes University,Law,2022,378,68.79,16.82,10996809,3.08
Rhodes University,Health Science,2017,2452,62.36,13.61,16261656,3.98
University of Pretoria,Engineering,2021,2992,63.76,7.22,2491893,3.23
University of Johannesburg,Law,2021,2542,92.92,10.72,3697005,2.12
Rhodes University,Engineering,2015,597,77.08,17.27,11132783,2.04
University of Pretoria,Engineering,2017,196,51.34,16.65,2370743,2.9
University of Johannesburg,Law,2019,1993,73.85,11.63,13062681,2.01
Wits University,Law,2018,758,70.13,15.26,3521784,2.28
University of Pretoria,Humanities,2021,2869,59.4,15.5,8105248,2.05
University of Cape Town,Humanities,2019,2848,82.6,23.5,19173689,2.32
Wits University,Education,2019,242,81.92,16.54,12473550,3.02
University of Johannesburg,Humanities,2017,2375,82.75,22.78,11948819,2.55
Rhodes University,Humanities,2017,523,53.19,22.89,12877871,3.56
Wits University,Law,2020,544,70.66,9.81,11172721,2.53
Rhodes University,Engineering,2024,1631,50.24,10.61,10492295,3.53
University of KwaZulu-Natal,Engineering,2024,2384,54.88,19.31,3029359,2.74
University of KwaZulu-Natal,Health Science,2019,424,68.11,21.42,14969700,3.08
Rhodes University,Health Science,2023,1858,82.35,6.02,4462286,2.96
University of Johannesburg,Education,2022,2848,93.18,8.2,13474553,2.13
University of Johannesburg,Engineering,2015,1835,70.95,20.96,4525002,2.1
Wits University,Education,2019,1531,80.41,6.85,12841803,2.67
Stellenbosch University,Law,2018,2718,65.61,25.31,14186927,3.48
Wits University,Education,2016,1726,83.37,11.01,5927109,2.98
University of Cape Town,Education,2019,2139,59.65,10.66,531077,2.12
University of Pretoria,Education,2015,2904,76.19,24.82,17666081,2.82
University of KwaZulu-Natal,Education,2024,1282,67.7,6.37,17462846,3.5
Stellenbosch University,Engineering,2020,2173,89.26,19.86,8955396,3.43
Rhodes University,Law,2021,2506,72.74,10.83,19906295,2.18
University of Cape Town,Law,2020,1942,66.9,16.3,2409575,3.96
University of Johannesburg,Engineering,2016,659,72.27,25.86,15777272,2.95
Wits University,Humanities,2017,1687,57.98,26.8,12304275,2.24
University of Cape Town,Health Science,2020,755,86.42,22.49,18856745,2.62
University of KwaZulu-Natal,Health Science,2021,2842,75.49,16.21,5789940,3.77
Wits University,Health Science,2019,2641,71.07,13.92,6471856,2.84
University of Johannesburg,Engineering,2023,2213,61.27,7.89,1904393,3.35
Stellenbosch University,Law,2022,175,66.11,19.04,18202415,3.66
University of Pretoria,Health Science,2022,2350,68.56,21.08,583565,2.62
University of KwaZulu-Natal,Humanities,2015,853,81.08,19.32,17560104,2.5
University of KwaZulu-Natal,Education,2022,360,53.15,27.69,6879263,3.49
University of Johannesburg,Humanities,2023,1394,59.88,26.85,16618642,3.62
Wits University,Health Science,2021,2526,88.38,23.03,16715509,3.42
Wits University,Law,2024,1607,69.32,25.16,13214763,3.02
University of Cape Town,Engineering,2016,2667,93.69,21.19,5948856,2.4
University of Cape Town,Education,2020,1036,79.94,11.68,12233141,2.1
Stellenbosch University,Law,2024,2133,88.2,18.35,19418677,2.57
University of Cape Town,Education,2020,2709,84.63,25.8,7467786,2.59
Stellenbosch University,Education,2019,2386,59.14,21.05,16621296,3.4
Stellenbosch University,Health Science,2020,944,73.37,21.57,5157135,2.25
Wits University,Law,2015,2822,78.43,20.81,19603844,2.76
University of Johannesburg,Health Science,2017,2355,61.5,27.9,14739961,3.76
Stellenbosch University,Education,2017,882,70.57,6.84,9965781,2.49
Rhodes University,Engineering,2021,245,52.58,15.9,7889387,2.53
Stellenbosch University,Law,2022,464,77.59,29.48,2395130,3.07
University of Pretoria,Law,2020,1532,51.17,11.4,16032277,2.83
Rhodes University,Engineering,2021,523,72.64,11.42,10763932,3.06
University of Pretoria,Health Science,2020,1761,87.32,28.67,1653217,3.44
University of Pretoria,Humanities,2023,1671,60.71,27.04,2175222,2.44
Stellenbosch University,Engineering,2019,2609,60.11,22.72,16358576,2.82
University of Cape Town,Humanities,2017,2200,77.55,28.86,7003660,2.74
University of Johannesburg,Health Science,2018,1402,74.36,27.33,2747561,2.89
Rhodes University,Humanities,2023,1606,69.8,12.33,14477469,2.1
University of KwaZulu-Natal,Health Science,2017,1540,87.07,8.09,7966209,3.48
University of Johannesburg,Health Science,2017,1286,80.49,10.83,19341737,2.36
University of Pretoria,Engineering,2020,2667,89.86,8.74,17146566,3.85
Rhodes University,Health Science,2022,1996,92.45,17.03,670473,2.95
University of Cape Town,Humanities,2024,506,92.38,10.0,7536726,2.0
Wits University,Engineering,2022,1028,73.9,20.04,1002196,3.35
University of Pretoria,Health Science,2022,2581,67.13,27.83,16271539,2.04
University of Johannesburg,Education,2022,676,75.61,21.56,739603,3.3
Wits University,Health Science,2022,496,76.03,15.23,569447,3.28
University of Cape Town,Engineering,2023,2575,92.57,23.69,4982629,3.47
University of Johannesburg,Law,2016,2388,77.26,27.53,5525946,3.96
Stellenbosch University,Education,2018,755,54.64,29.03,6131804,3.83
University of KwaZulu-Natal,Health Science,2019,474,73.48,29.17,4663366,3.51
University of KwaZulu-Natal,Law,2016,792,79.63,16.17,15469210,3.55
University of KwaZulu-Natal,Humanities,2016,564,84.93,19.71,3979040,2.83
University of Pretoria,Education,2018,1450,72.35,5.51,11880228,3.98
University of Johannesburg,Education,2021,2377,78.56,11.22,13441105,2.75
Wits University,Engineering,2022,2000,58.38,18.84,6010711,2.52
Rhodes University,Law,2022,2434,75.42,5.02,1222275,3.37
University of Johannesburg,Engineering,2016,881,63.85,12.74,8543254,2.31
University of Cape Town,Engineering,2018,1203,86.48,7.41,13404454,2.49
University of Pretoria,Education,2016,2034,91.4,16.99,12344944,2.11
University of Johannesburg,Health Science,2022,349,69.97,27.36,10977382,3.1
University of KwaZulu-Natal,Health Science,2020,1799,62.32,28.91,3978885,3.84
Wits University,Humanities,2017,380,61.92,13.1,1183811,2.75
Wits University,Education,2023,482,68.57,27.17,3216763,2.81
University of Pretoria,Engineering,2019,1373,54.99,6.88,16427326,3.24
University of Johannesburg,Humanities,2017,2471,70.49,21.44,18898074,3.85
University of Pretoria,Health Science,2020,121,94.56,11.64,3996408,3.13
University of KwaZulu-Natal,Engineering,2017,2075,80.95,11.07,7680650,2.35
Rhodes University,Humanities,2015,2869,91.44,29.18,7291362,3.48
University of Johannesburg,Humanities,2022,1175,84.16,16.73,19995232,2.67
University of KwaZulu-Natal,Education,2019,991,91.92,27.54,19392189,2.21
Stellenbosch University,Health Science,2022,2955,62.7,9.07,10762574,2.61
University of Cape Town,Education,2018,2781,65.34,7.69,18048378,3.07
Rhodes University,Law,2018,2425,53.24,10.89,15014650,2.34
University of Pretoria,Law,2019,1099,55.0,22.66,15822981,2.65
University of Pretoria,Engineering,2017,180,82.69,8.74,7721467,3.98
University of Cape Town,Engineering,2019,147,85.46,24.33,11549396,3.35
University of Cape Town,Health Science,2022,756,73.91,5.7,14058830,3.04
Rhodes University,Health Science,2020,1335,64.24,22.18,10477556,3.78
University of Pretoria,Humanities,2023,2513,61.55,11.88,4294550,3.09
Wits University,Engineering,2023,1106,50.62,24.66,15850694,3.38
University of Cape Town,Law,2019,1148,56.99,21.74,9107484,3.57
Stellenbosch University,Engineering,2019,761,89.52,29.11,19876269,3.21
University of Johannesburg,Humanities,2016,947,74.88,23.75,15884736,3.01
University of Pretoria,Education,2017,745,60.2,25.46,18198885,2.6
University of Pretoria,Humanities,2017,624,56.67,23.05,3323670,2.37
Wits University,Humanities,2021,824,80.87,24.46,7549426,3.38
University of KwaZulu-Natal,Education,2023,1565,53.24,5.77,8318144,2.05
Rhodes University,Engineering,2020,892,63.51,9.24,1831622,3.14
Stellenbosch University,Health Science,2015,810,72.46,28.63,17228802,2.02
University of Johannesburg,Humanities,2017,1957,62.76,8.85,12449738,2.54
Rhodes University,Humanities,2022,1475,85.11,24.63,2881781,2.43
University of Johannesburg,Education,2015,1602,91.71,29.1,17398822,2.77
University of Johannesburg,Education,2017,1035,82.96,27.39,13266738,2.68
Wits University,Humanities,2016,1326,54.47,20.27,1562295,2.62
Rhodes University,Health Science,2016,454,80.91,20.12,14918149,2.24
Rhodes University,Law,2023,750,68.61,25.75,7412338,2.82
University of Pretoria,Humanities,2023,792,79.69,23.17,8132417,2.39
Wits University,Engineering,2024,673,50.58,5.88,4388979,3.77
University of Cape Town,Humanities,2022,2486,50.13,19.27,19677830,3.56
University of KwaZulu-Natal,Health Science,2019,1168,55.37,25.81,8654647,2.17
Wits University,Humanities,2017,2249,77.52,22.02,7140086,3.14
Rhodes University,Humanities,2016,2638,82.54,12.51,15034100,2.8
University of Johannesburg,Engineering,2022,1576,88.79,19.71,13372021,2.26
Stellenbosch University,Education,2021,2451,93.65,29.57,10595666,3.91
University of Pretoria,Law,2015,1950,54.28,16.88,11395121,2.44
Wits University,Engineering,2019,956,93.5,9.85,8729588,3.22
Stellenbosch University,Humanities,2016,396,65.41,14.62,7495163,3.24
University of KwaZulu-Natal,Health Science,2015,2254,76.66,5.59,12172248,3.0
Stellenbosch University,Health Science,2020,1641,54.32,22.69,16135859,3.6
Stellenbosch University,Education,2017,2489,68.25,12.11,4500510,2.88
University of Johannesburg,Health Science,2022,1595,72.59,12.98,16509688,2.83
Wits University,Engineering,2020,1779,72.93,13.76,11250046,3.41
University of KwaZulu-Natal,Law,2016,1431,88.11,12.94,19425780,3.85
Stellenbosch University,Education,2024,2107,61.76,5.74,8346064,2.53
University of Johannesburg,Education,2023,2940,93.6,21.2,8278573,2.19
Stellenbosch University,Law,2024,2791,65.57,17.21,6027160,2.42
Wits University,Health Science,2017,638,72.11,25.45,14771644,3.31
University of Cape Town,Education,2016,2498,92.38,27.38,18250680,3.73
Rhodes University,Education,2016,235,69.28,12.68,7051422,2.02
Stellenbosch University,Education,2015,354,74.96,17.7,6117943,3.41
University of KwaZulu-Natal,Engineering,2024,1431,68.74,14.68,16851233,2.65
Wits University,Humanities,2023,1140,60.01,16.29,4239280,2.03
Wits University,Humanities,2018,234,58.88,9.12,14928649,2.26
University of Johannesburg,Education,2015,1478,81.17,17.28,5263043,2.53
Rhodes University,Engineering,2023,2525,56.15,5.41,7227023,3.36
University of Pretoria,Law,2020,2212,59.38,28.63,7612795,2.32
University of Pretoria,Health Science,2018,231,70.58,27.13,15849593,2.81
Stellenbosch University,Health Science,2019,1627,57.15,14.82,19871506,3.86
Stellenbosch University,Humanities,2019,2655,70.92,15.8,13417163,3.34
Stellenbosch University,Law,2017,2512,84.45,22.43,7842821,4.0
Stellenbosch University,Education,2020,2643,67.02,27.61,1886351,3.99
University of Cape Town,Humanities,2023,1434,52.9,11.13,11703957,3.85
University of Johannesburg,Education,2023,2746,90.81,14.04,5559906,3.17
Stellenbosch University,Engineering,2018,832,89.47,19.89,17604035,2.28
University of Pretoria,Engineering,2021,1913,80.62,23.66,17459861,3.81
Stellenbosch University,Law,2016,201,81.62,9.05,17123094,3.01
University of Pretoria,Law,2024,2139,66.99,6.01,17373195,2.48
University of Cape Town,Humanities,2022,1441,78.23,8.7,3078087,2.93
University of Johannesburg,Health Science,2020,1278,88.39,25.38,15953390,2.5
University of Cape Town,Engineering,2016,2202,75.44,29.4,8955130,2.79
University of Pretoria,Health Science,2022,171,72.11,22.68,19770106,2.61
University of Johannesburg,Law,2022,1050,75.02,15.9,13015437,3.37
University of Johannesburg,Law,2017,1528,63.08,6.96,11670180,3.54
University of Johannesburg,Health Science,2022,1384,61.13,10.84,4598048,3.91
Wits University,Education,2022,162,57.59,23.55,7012709,3.81
Stellenbosch University,Education,2024,2822,53.5,8.86,530519,3.07
Wits University,Health Science,2017,2350,73.97,13.52,16347795,3.89
Wits University,Law,2016,1378,70.54,27.83,10669790,2.12
University of KwaZulu-Natal,Health Science,2016,1737,88.22,25.9,2489247,3.51
Rhodes University,Law,2016,2555,75.33,14.28,6063328,3.45
University of KwaZulu-Natal,Law,2019,845,70.92,29.44,2340686,3.23
University of Pretoria,Humanities,2021,528,58.07,16.11,14028908,2.23
University of Cape Town,Health Science,2017,1812,81.52,8.35,9500697,2.52
Wits University,Education,2024,347,80.06,23.41,3140157,2.85
University of Johannesburg,Engineering,2016,1727,55.53,16.92,3230971,2.76
Wits University,Engineering,2017,2265,90.52,14.24,19409163,3.13
University of Pretoria,Law,2015,722,71.57,24.12,19674384,3.57
University of Johannesburg,Humanities,2021,2611,77.58,22.52,11484544,2.5
University of Pretoria,Education,2024,2434,62.53,9.59,10455495,3.36
University of Johannesburg,Law,2018,733,56.97,10.42,7570806,3.0
Wits University,Law,2018,1975,73.64,13.66,18722434,3.98
Rhodes University,Law,2023,1938,87.94,14.35,5179166,2.98
University of Cape Town,Law,2021,1479,85.12,23.81,18115098,2.89
Wits University,Engineering,2019,306,76.2,13.7,10224218,3.63
University of KwaZulu-Natal,Health Science,2015,180,80.6,17.11,16392151,3.7
Rhodes University,Engineering,2023,1982,52.5,26.53,11281400,2.14
Wits University,Education,2023,2063,75.32,5.11,1429484,3.39
University of Pretoria,Education,2015,2282,91.2,28.28,11582753,2.69
Wits University,Law,2018,2044,77.82,12.08,12367981,3.68
University of Johannesburg,Humanities,2018,2778,65.05,28.6,15169843,2.75
Stellenbosch University,Education,2021,678,61.93,25.67,6328694,3.72
University of KwaZulu-Natal,Education,2017,1754,76.2,14.96,12784591,2.48
Wits University,Engineering,2018,475,52.32,23.98,11098311,2.08
Stellenbosch University,Law,2015,2102,67.78,9.29,2596880,2.0
University of Pretoria,Engineering,2018,1834,64.01,26.13,18897172,3.8
Stellenbosch University,Law,2024,2810,67.6,15.55,1219917,3.69
University of Johannesburg,Health Science,2019,2749,84.13,25.77,13110600,3.35
University of KwaZulu-Natal,Health Science,2024,477,68.22,7.07,1655881,2.65
University of Johannesburg,Education,2019,1899,55.86,14.09,10441515,3.17
University of Pretoria,Engineering,2020,2591,69.26,6.72,4524237,3.75
Stellenbosch University,Engineering,2016,1427,54.15,25.45,12583999,3.36
Wits University,Education,2015,1245,78.45,21.64,8389477,3.72
University of Cape Town,Education,2018,2876,77.0,6.31,8898455,2.45
University of Cape Town,Law,2017,1406,60.96,14.41,4449839,2.44
University of KwaZulu-Natal,Engineering,2015,1883,66.14,22.92,11284452,3.79
Stellenbosch University,Law,2019,861,69.89,9.51,7706452,2.62
University of KwaZulu-Natal,Health Science,2016,1670,54.1,6.48,9284207,2.26
University of Cape Town,Engineering,2021,2885,91.12,18.22,8903701,3.18
University of Johannesburg,Health Science,2024,156,52.59,20.25,17931120,3.07
Rhodes University,Humanities,2017,1606,92.15,13.52,12130599,3.7
University of Cape Town,Humanities,2021,285,73.33,14.96,11661235,2.55
Wits University,Engineering,2020,1650,88.23,28.82,18561213,2.93
University of Pretoria,Health Science,2020,2908,58.87,21.7,15139808,2.46
University of Cape Town,Law,2018,1772,81.67,17.98,951367,2.45
Stellenbosch University,Humanities,2022,1050,91.32,11.38,14298525,2.12
University of Johannesburg,Health Science,2020,2720,73.99,5.3,19476691,2.81
Stellenbosch University,Health Science,2017,726,67.35,18.15,16960683,3.95
University of Johannesburg,Engineering,2023,1306,93.8,20.33,2182512,2.45
University of Johannesburg,Education,2018,1451,72.6,12.37,4753622,3.82
University of Cape Town,Law,2018,308,62.44,9.93,5743087,3.94
University of Pretoria,Education,2019,2165,52.56,29.19,13458416,3.2
University of KwaZulu-Natal,Education,2020,2905,73.59,6.51,4132262,3.87
Rhodes University,Education,2022,1519,82.86,21.95,19537043,2.13
University of Pretoria,Health Science,2018,1431,69.13,29.27,7617515,3.43
Stellenbosch University,Humanities,2016,2104,84.17,25.49,13803591,3.45
Wits University,Health Science,2024,1305,52.81,16.94,6193259,3.7
Wits University,Engineering,2019,1689,66.51,15.04,18651818,3.44
Wits University,Humanities,2020,2336,61.75,13.97,1066115,2.8
Wits University,Health Science,2016,1390,51.32,15.06,9534347,3.87
University of Pretoria,Humanities,2020,2986,81.38,17.5,7348613,2.64
University of Johannesburg,Health Science,2021,646,63.27,27.62,16143975,2.7
University of Pretoria,Engineering,2018,1396,78.03,25.88,15546179,3.0
Wits University,Engineering,2016,868,84.07,20.9,18933740,3.39
Wits University,Law,2021,1962,72.9,19.61,19562024,2.67
University of Johannesburg,Engineering,2024,1599,68.77,6.06,7431027,3.01
University of KwaZulu-Natal,Engineering,2018,1697,55.36,17.46,13987218,2.97
Wits University,Education,2015,2737,82.37,24.05,17491492,2.31
University of Cape Town,Education,2021,1540,61.89,15.65,18924403,3.01
University of Johannesburg,Law,2019,1763,79.84,12.19,12416427,3.6
Rhodes University,Law,2022,2810,80.05,6.39,7243530,2.54
Stellenbosch University,Law,2018,958,88.63,22.71,4353218,2.27
University of Cape Town,Law,2016,470,89.39,27.52,1307291,3.84
University of Cape Town,Health Science,2022,2542,84.43,29.53,15721753,2.37
University of Cape Town,Law,2024,2022,91.41,21.88,7471494,3.24
University of Johannesburg,Law,2023,1177,56.2,27.22,11081288,3.02
Wits University,Law,2016,2086,72.88,25.14,525011,2.23
University of Cape Town,Engineering,2020,1306,53.73,27.76,7814270,2.19
University of Pretoria,Health Science,2019,1760,63.48,17.31,13267011,3.44
University of Cape Town,Law,2018,2226,75.24,10.66,19824410,3.14
Rhodes University,Health Science,2023,1767,74.71,11.87,8223626,3.96
University of Pretoria,Education,2015,1706,89.2,10.27,19578485,3.47
Rhodes University,Humanities,2018,1991,63.82,25.4,4098949,3.86
Rhodes University,Law,2016,1837,82.92,9.44,3668975,2.0
Wits University,Humanities,2018,2340,66.49,12.09,12476142,3.86
University of Johannesburg,Law,2023,871,79.23,27.76,3803379,2.44
University of Pretoria,Health Science,2021,1818,73.09,20.18,6177941,3.06
University of KwaZulu-Natal,Health Science,2016,2508,56.43,12.58,19511397,3.27
Wits University,Humanities,2017,2304,73.15,24.24,8954791,2.08
University of Pretoria,Engineering,2023,1932,80.36,8.88,18527315,3.46
University of Cape Town,Law,2020,2858,57.77,12.49,12632940,2.03
University of KwaZulu-Natal,Law,2018,2897,54.7,12.41,17766361,3.57
Wits University,Health Science,2022,2892,68.41,9.42,17525175,2.34
University of KwaZulu-Natal,Education,2020,1406,85.37,21.84,7464793,3.32
University of Pretoria,Law,2020,1684,81.07,7.27,6987510,2.4
University of Pretoria,Law,2020,1762,78.49,27.82,3827113,3.92
University of Pretoria,Education,2015,886,93.66,28.94,17365262,3.32
Rhodes University,Engineering,2015,2601,94.97,17.43,1337018,2.19
University of Cape Town,Law,2017,2465,77.12,12.33,8426172,2.22
University of Pretoria,Health Science,2019,2341,77.5,7.33,13153816,3.32
Wits University,Engineering,2021,1358,62.21,5.17,9667489,2.84
University of Johannesburg,Health Science,2018,1861,64.59,6.08,9016618,3.06
Stellenbosch University,Engineering,2021,2758,64.27,14.14,7382740,3.36
Rhodes University,Humanities,2023,582,85.9,25.88,19083166,2.51
University of Cape Town,Education,2019,115,92.28,24.22,19306685,3.98
University of Cape Town,Health Science,2022,2105,72.64,5.29,8346082,2.1
University of Pretoria,Health Science,2015,2566,77.98,29.82,12575586,3.42
University of Cape Town,Engineering,2023,2917,86.26,23.29,13930638,2.93
University of Johannesburg,Health Science,2024,2713,83.91,25.43,10141212,3.38
University of Pretoria,Law,2021,2193,92.19,19.48,15367120,3.02
University of Cape Town,Engineering,2020,1609,61.19,8.24,1474984,2.43
University of Pretoria,Engineering,2024,1827,62.58,29.29,4412002,2.78
University of Johannesburg,Education,2021,1967,52.72,8.31,9314532,2.28
University of KwaZulu-Natal,Humanities,2020,2494,62.37,27.85,8253165,2.37
University of KwaZulu-Natal,Engineering,2022,1709,82.68,16.2,1772201,2.0
University of Pretoria,Engineering,2023,1471,79.84,11.67,2953432,2.3
University of Cape Town,Engineering,2016,622,82.15,25.01,17372388,3.48
Stellenbosch University,Health Science,2024,467,54.13,11.94,1439853,3.51
University of KwaZulu-Natal,Humanities,2017,1364,63.07,29.71,15738681,3.13
University of Johannesburg,Engineering,2016,129,86.3,21.54,19974950,3.01
University of KwaZulu-Natal,Engineering,2018,2248,94.96,8.08,3667025,3.73
Rhodes University,Engineering,2022,2891,74.03,9.83,12058593,2.7
Wits University,Engineering,2016,802,88.9,5.56,13389483,2.12
Wits University,Humanities,2015,2109,92.12,22.32,679682,3.01
University of KwaZulu-Natal,Education,2020,717,68.43,23.27,11828867,3.88
Wits University,Engineering,2016,646,58.91,26.11,7735467,2.46
University of KwaZulu-Natal,Humanities,2015,1403,81.14,18.02,18078764,2.38
Wits University,Health Science,2019,425,57.52,8.12,11814123,3.17
University of KwaZulu-Natal,Engineering,2016,556,76.29,11.97,7537416,3.0
University of Cape Town,Health Science,2024,2460,81.34,15.96,9339108,3.57
Rhodes University,Education,2016,2366,67.79,26.35,17776348,3.16
University of KwaZulu-Natal,Law,2017,1785,72.87,14.35,19896957,3.99
Stellenbosch University,Humanities,2016,2715,91.79,12.9,19348134,2.1
Stellenbosch University,Health Science,2019,974,72.73,28.36,4125029,3.72
Wits University,Health Science,2017,2701,52.02,12.48,4799089,2.09
University of Cape Town,Health Science,2021,415,92.12,24.14,12009298,2.39
University of Johannesburg,Humanities,2019,573,88.0,20.45,16627364,2.53
University of KwaZulu-Natal,Education,2019,833,67.02,5.29,19171142,2.21
Wits University,Law,2022,192,87.0,13.71,18673572,3.8
Rhodes University,Law,2015,2960,72.0,25.56,18944577,2.89
Stellenbosch University,Engineering,2023,431,89.67,29.34,15866752,3.91
Rhodes University,Health Science,2023,1767,88.27,5.7,18282878,2.66
Rhodes University,Health Science,2017,2233,56.51,7.05,18280282,2.53
University of KwaZulu-Natal,Humanities,2024,2935,94.71,17.99,2359733,2.82
Stellenbosch University,Education,2017,402,92.37,18.31,16995183,3.54
University of Pretoria,Humanities,2018,2130,65.12,23.39,18318057,2.27
Rhodes University,Education,2022,2945,52.58,16.09,18694429,2.52
University of KwaZulu-Natal,Law,2024,1251,58.89,24.91,12080486,2.34
University of KwaZulu-Natal,Health Science,2015,2109,59.28,20.94,3064142,3.46
Stellenbosch University,Health Science,2022,2239,70.38,10.86,17190944,2.97
University of Johannesburg,Humanities,2020,1733,77.44,18.66,4145932,3.04
Wits University,Health Science,2015,2861,79.12,15.09,10130888,2.14
Rhodes University,Engineering,2015,528,62.46,13.95,15788346,2.89
University of Cape Town,Education,2022,2259,90.12,17.99,13765324,3.89
University of KwaZulu-Natal,Engineering,2023,2641,78.86,29.51,13446397,2.35
Stellenbosch University,Humanities,2016,936,85.41,10.51,16524413,3.3
Rhodes University,Humanities,2016,2830,80.96,21.64,17995313,2.98
Wits University,Education,2022,1847,66.34,20.66,15860518,2.56
University of Pretoria,Education,2017,2626,76.08,8.2,4591852,2.98
University of Cape Town,Humanities,2018,2852,87.06,6.52,13180796,3.59
University of Johannesburg,Engineering,2015,2273,63.68,13.94,12121393,2.61
University of KwaZulu-Natal,Humanities,2023,2397,71.56,17.75,18423049,2.15
University of KwaZulu-Natal,Health Science,2015,2734,50.57,12.83,17070891,3.6
University of Cape Town,Education,2021,2311,84.11,27.9,10634901,2.73
Rhodes University,Health Science,2017,2429,72.35,15.76,16100156,3.06
University of Johannesburg,Humanities,2023,262,65.09,10.82,11065977,3.1
University of Pretoria,Engineering,2015,2702,83.31,27.97,2980114,2.22
Wits University,Law,2021,1352,53.48,29.3,6357859,3.63
Stellenbosch University,Law,2020,2009,79.89,27.75,18735499,2.52
Stellenbosch University,Engineering,2023,1066,76.9,26.18,10247197,3.82
University of Cape Town,Humanities,2015,2638,57.04,15.88,13041203,2.46
Wits University,Education,2018,974,75.57,5.23,1851107,2.59
Wits University,Education,2022,2104,54.14,8.46,15663535,3.35
Rhodes University,Law,2015,787,92.79,21.84,18744219,3.31
University of Johannesburg,Health Science,2021,813,93.94,23.22,15010634,2.38
Wits University,Education,2022,2692,59.37,5.53,14925309,2.13
Wits University,Engineering,2015,2816,81.88,5.13,3673535,3.95
University of KwaZulu-Natal,Health Science,2016,1891,58.66,28.64,9783906,2.89
University of KwaZulu-Natal,Humanities,2015,1018,82.79,6.9,19420823,3.12
Wits University,Humanities,2024,1617,51.33,28.69,7321152,3.36
University of KwaZulu-Natal,Law,2023,2066,85.97,15.06,8651903,3.84
Stellenbosch University,Education,2016,660,88.99,16.06,4077339,3.1
Stellenbosch University,Humanities,2020,298,87.88,8.75,19970253,2.44
Wits University,Education,2019,1121,79.45,22.94,15526683,3.09
Wits University,Humanities,2018,819,52.46,12.33,12797373,3.67
Stellenbosch University,Law,2016,1762,59.04,24.86,9832032,2.01
Wits University,Engineering,2019,2984,68.58,8.1,6985941,2.97
Wits University,Engineering,2018,2926,52.46,14.56,8626048,3.46
Rhodes University,Law,2017,717,79.53,18.38,2313470,3.32
Wits University,Health Science,2022,106,94.01,29.48,5379128,2.5
University of Cape Town,Humanities,2020,1699,54.87,17.84,3225647,3.58
Wits University,Law,2022,2134,84.52,22.87,8744039,3.32
University of Cape Town,Engineering,2024,440,94.96,20.61,9169140,2.55
University of Cape Town,Law,2016,2644,80.9,18.86,16250615,2.15
University of Johannesburg,Engineering,2015,1632,67.43,8.75,1600669,3.39
University of KwaZulu-Natal,Law,2017,2571,66.26,26.96,3517092,3.77
Wits University,Engineering,2017,1742,82.02,27.96,15135304,3.94
University of KwaZulu-Natal,Humanities,2016,560,58.1,21.73,6099384,2.18
University of Johannesburg,Humanities,2021,591,64.28,7.84,7124070,3.22
University of KwaZulu-Natal,Health Science,2023,2037,86.45,18.41,3132651,3.89
University of Cape Town,Engineering,2024,2675,50.06,29.23,4257680,2.26
University of Johannesburg,Health Science,2022,1837,84.49,12.69,4609147,2.84
Stellenbosch University,Engineering,2017,2268,92.47,27.28,4316183,3.63
Wits University,Law,2016,2432,56.05,17.22,15815757,2.25
University of Johannesburg,Law,2023,1930,88.07,12.75,12277103,3.27
